Job Name ,Job Link,Job Description,Job Location,Company Name
Cost & Data Analysis Accountant,https://wuzzuf.net/jobs/p/6LyviAngofaz-Cost-Data-Analysis-Accountant-MENA-For-Contracting-Trading-Alexandria-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication skills · Construction · Cost Accounting · ERP · excel · Finance · Financial Analysis,"Glim, Alexandria, Egypt ",MENA For Contracting & Trading -
Data Analyst Lead / Manager,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt,Full TimeHybridManager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,"Maadi, Cairo, Egypt ",WUZZUF -
Senior Data Analyst,https://wuzzuf.net/jobs/p/lz3Hncw3F9yP-Senior-Data-Analyst-Green-Valley-Cairo-Egypt,Full TimeOn-siteExperienced · 4 - 5 Yrs of Exp · Analyst/Research · Analysis · Analyst · Data Analysis · Data Analyst,"Nasr City, Cairo, Egypt ",Green Valley -
Data Engineering Lead,https://wuzzuf.net/jobs/p/SyTlRprkXhia-Data-Engineering-Lead-Nahdet-Misr-Publishing-Group-Giza-Egypt,Part TimeHybridExperienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · AWS · Engineering · Azure · Analysis · Cloud Development · SQL · Data Modeling · Data Warehouse,"Mohandessin, Giza, Egypt ",Nahdet Misr Publishing Group -
Data Scientists Team Lead,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt,Full TimeHybridManager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Data Analysis · Analytics · Computer Science · Information Technology (IT) · SQL · Agile,"Sheraton, Cairo, Egypt ",Smart Vision Technologies -
Media Monitoring Executive & Data Analysis,https://wuzzuf.net/jobs/p/DjhJDpbmz64n-Media-Monitoring-Executive-Data-Analysis-AY-Govt-Services-LLC-Al-Ahmadi-Kuwait,Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Market Research · Social Media · English · Data Analysis · Research,"Al Ahmadi, Kuwait ",A&Y Govt. Services LLC -
Data Analyst,https://wuzzuf.net/jobs/p/wbK72hYhmTCd-Data-Analyst-United-Group-Steel-Sharqia-Egypt,Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · females_only · Accounting/Finance · IT/Software Development · Analyst/Research · Data Entry · Financial Data Analysis · Data Analysis · Microsoft Excel · Financial Accounting · Business Analysis · Analysis,"10th of Ramadan City, Sharqia, Egypt ",United Group Steel -
"Data Analyst -Internship ""Alexandria""",https://wuzzuf.net/internship/eJ5MCTLO1OfU-Data-Analyst--Internship-Alexandria-Egyptian-Abrasives-Co-Alexandria-Egypt,InternshipOn-siteStudent · Analyst/Research · Engineering - Telecom/Technology · Analysis · Data Analysis · Information Technology (IT) · Computer Science · Training · Communication,"Alexandria, Egypt ",Egyptian Abrasives Co. -
Analysis Engineer,https://wuzzuf.net/jobs/p/XDgPp57Ff47G-Analysis-Engineer-SMD-Industrial-Sharqia-Egypt,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Manufacturing/Production · Analyst/Research · Data Analysis · Analytical Skills · business · Manufacturing · Engineering,"10th of Ramadan City, Sharqia, Egypt ",SMD Industrial  -
Data Analyst,https://wuzzuf.net/jobs/p/CwBcPiNouivj-Data-Analyst-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · females_only · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analyst · Reporting · Statistics · Analyst · Information Technology (IT),"Obour City, Cairo, Egypt ",Selah ElTelmeez For Publishing & printing -
Data Analyst,https://wuzzuf.net/jobs/p/d08tp08z8vjc-Data-Analyst-Kasrawy-Group-Giza-Egypt,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Communication · Communication skills · Analysis · Computer Science · Economics · Data Analysis · English,"Abu Rawash, Giza, Egypt ",Kasrawy Group -
Data analyst and sustainability coordinator,https://wuzzuf.net/jobs/p/TiSheXB9yNx7-Data-analyst-and-sustainability-coordinator-Olam-SVI-Giza-Egypt,Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Logistics/Supply Chain · Analysis · Data Analysis · MS Office · Microsoft Excel · Microsoft Powerpoint · English,"6th of October, Giza, Egypt ",Olam SVI -
Senior Financial Planning and Analysis,https://wuzzuf.net/jobs/p/bO0Vju3HNi7U-Senior-Financial-Planning-and-Analysis-Corona-Giza-Egypt,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Accounting/Finance · Financial Analysis · Accounting · Finance · Planning,"6th of October, Giza, Egypt ",Corona -
Financial Planning & Analysis Manager,https://wuzzuf.net/jobs/p/U37jxrtUHVbs-Financial-Planning-Analysis-Manager-Skywalk-Developments-Giza-Egypt,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · Financial Analysis · Finance · Financial Management · Planning · Budgeting,"Sheikh Zayed, Giza, Egypt ",Skywalk Developments -
Senior Data Analyst,https://wuzzuf.net/jobs/p/l2HsysPBSUnM-Senior-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,"Zamalek, Cairo, Egypt ",Al Ahly capital holding - Al Ahly Tamkeen -
Data Analyst,https://wuzzuf.net/jobs/p/sbfNVsAYhQVm-Data-Analyst-Lecico-Egypt-Alexandria-Egypt,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · Data Analysis · Information Technology (IT) · Science · English · Data Analyst · Computer Science · Analysis,"Alexandria, Egypt ",Lecico Egypt -
Retail Manager,https://wuzzuf.net/jobs/p/T87dcVYoyXSP-Retail-Manager-CNS-Group-Cairo-Egypt,Full TimeOn-siteManager · 5 - 10 Yrs of Exp · males_preferred · Administration · Operations/Management · Sales/Retail · Retail · Sales Skills · Store Management · Sales · Analysis · Communication · Customer Care,"Heliopolis, Cairo, Egypt ",CNS Group -
Accountant,https://wuzzuf.net/jobs/p/pDFia8UtJBPk-Accountant-ALWALAA-for-Sorting-and-Packing-Agricultural-Crops-Giza-Egypt,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Accounting/Finance · Analysis · Budgeting · Finance · Financial Analysis · Financial Data · Software,"Abu Rawash, Giza, Egypt ",ALWALAA for Sorting and Packing Agricultural Crops -
Process Analyst,https://wuzzuf.net/jobs/p/VtgaleV8lLcq-Process-Analyst-Giza-Egypt,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Business Development · Analyst/Research · analytical · Analysis · Business Analysis · Data · Data Analysis · English · Internal Controls,"6th of October, Giza, Egypt ",Confidential -
Quality Control Manager,https://wuzzuf.net/jobs/p/fQcCBqLuAgfH-Quality-Control-Manager-Giza-Egypt,Full TimeOn-siteManager · 3 - 7 Yrs of Exp · Quality · quality · ISO · Quality Control · Quality Assurance · Engineering · Administration · Analysis · business · Business Administration,"Abu Rawash, Giza, Egypt ",Confidential -
Purchasing Specialist,https://wuzzuf.net/jobs/p/XWVR1Ix8Y3mw-Purchasing-Specialist-Mahmoud-Electric-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · females_preferred · Logistics/Supply Chain · Purchasing/Procurement · Procurement · Purchasing · Logistics · ERP · SAP · Data Analysis,"Downtown, Cairo, Egypt ",Mahmoud Electric -
Senior Data Engineer,https://wuzzuf.net/jobs/p/SCc3lNw8IO1J-Senior-Data-Engineer-Paymob-Solutions-Cairo-Egypt,Full TimeHybridExperienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Python · SQL · Database · Pandas · Computer Science · Programming · Software Development,"Maadi, Cairo, Egypt ",Paymob Solutions -
Governance & Business Excellence Executive,https://wuzzuf.net/jobs/p/2DS0qXZkc3SU-Governance-Business-Excellence-Executive-Times-Development-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · Business Development · Operations/Management · Administration · business · Business Administration · Microsoft Excel · Process · Microsoft Office · Data Analysis · Business Development,"New Cairo, Cairo, Egypt ",Times Development -
Sales Operations Admin,https://wuzzuf.net/jobs/p/VAQUCRiS2wvk-Sales-Operations-Admin-Duxcorp-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · Administration · Operations/Management · Sales/Retail · Operations · Sales Operations · Sales · sales skills · Sales Target · Analysis · Microsoft Excel,"Sheraton, Cairo, Egypt ",Duxcorp  -
Financial Analyst,https://wuzzuf.net/jobs/p/zRlYVSWhcNOp-Financial-Analyst-Nacita-Giza-Egypt,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Analysis · financial analyst · Financial Analysis · Economics · Reporting · Analyst · excel,"6th of October, Giza, Egypt ",Nacita -
Material Control Engineer,https://wuzzuf.net/jobs/p/ojdFtY1265e8-Material-Control-Engineer-etisal-for-advanced-industries-Giza-Egypt,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Logistics/Supply Chain · Supply Chain · Material Planning · Data Analysis · Microsoft Power BI,"6th of October, Giza, Egypt ",etisal for advanced industries  -
MEL Specialist,https://wuzzuf.net/jobs/p/IY3hK8Q1uCtn-MEL-Specialist-Sprints-ai-Cairo-Egypt,Full TimeHybridExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Monitoring program implementation and progress. · Evaluating the effectiveness of learning outcomes. · Learning from our findings to continually improve our programs. · Learning · Data Analysis · Data Management,"Maadi, Cairo, Egypt ",Sprints.ai -
Research And Development (Food & Beverage ),https://wuzzuf.net/jobs/p/izWXk7K4PsGc-Research-And-Development-Food-Beverage-ICONIC-FMCG-Cairo-Egypt,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · males_only · R&D/Science · Business Development · Analyst/Research · Business Development · Analysis · Chemistry · Data Analysis · Market Research · Communication · Management,"New Cairo, Cairo, Egypt ",ICONIC FMCG  -
Quality Control Manager,https://wuzzuf.net/jobs/p/CDvFO3Ethl2s-Quality-Control-Manager-Egyptian-Golden-Fruit-company-Alexandria-Egypt,Full TimeOn-siteManager · 5 - 8 Yrs of Exp · males_only · Quality · Administration · Analysis · business · Business Administration · Communication · Data Analysis · Engineering · ISO · Leadership,"Alexandria, Egypt ",Egyptian Golden Fruit company -
External Senior Auditor,https://wuzzuf.net/jobs/p/j5VFP22crq9L-External-Senior-Auditor-Shohdy-Finance-Cairo-Egypt,Full TimeOn-siteExperienced · 5 - 9 Yrs of Exp · Accounting/Finance · Accounting · Data Analysis · Auditing · External Auditing · ERP · IFRS · GAAP · Financial Analysis · Financial,"New Heliopolis, Cairo, Egypt ",Shohdy Finance  -
Warehouse Coordinator,https://wuzzuf.net/jobs/p/rUEsdRPlmymg-Warehouse-Coordinator-Twelve-for-financial-and-administrative-services-Giza-Egypt,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · Operations/Management · Fashion · Warehousing · Data Entry · Data Analysis · Coordination · Administration · Supply Chain · Fashion Retail,"Mohandessin, Giza, Egypt ",Twelve for financial and administrative services -
English Speakers (Graduates Only - Full time shifts),https://wuzzuf.net/jobs/p/xP26YTlQ45Ph-English-Speakers-Graduates-Only---Full-time-shifts-VOIS-Egypt-Cairo-Egypt,Full TimeShift BasedHybridEntry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,"Cairo, Egypt ",_VOIS Egypt -
Quality Manager ( Fashion),https://wuzzuf.net/jobs/p/LrLueFT3F49f-Quality-Manager-Fashion-Carina-Wear-Cairo-Egypt,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Logistics/Supply Chain · Data Analysis · Problem Solving · Decision Making · Leadership · quality · Microsoft Office · Analysis · Communication · Organization Skills,"New Cairo, Cairo, Egypt ",Carina Wear -
Stock Market Analyst,https://wuzzuf.net/jobs/p/EZlx3OvQWYGt-Stock-Market-Analyst-Riyadh-Saudi-Arabia,Part TimeRemoteExperienced · 8 - 10 Yrs of Exp · males_only · Analyst/Research · Analysis · Data Collection · Statistics · Analytics · analytical · Stocks · Stock Market,"Riyadh, Saudi Arabia ",Confidential -
For English Speakers (Graduates Only - Full time job),https://wuzzuf.net/jobs/p/B7aGupNdYDia-For-English-Speakers-Graduates-Only---Full-time-job-VOIS-Egypt-Cairo-Egypt,Full TimeShift BasedHybridEntry Level · Customer Service/Support · Sales/Retail · Training/Instructor · Customer · Customer Care · Customer Support · Customer Service · customer support representative · Representative · Support,"Cairo, Egypt ",_VOIS Egypt -
Senior Data Analyst,https://wuzzuf.net/jobs/p/pDuDzSwwSi9g-Senior-Data-Analyst-Goldentex-Sharqia-Egypt,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · Computer Science · Data Analysis · Engineering · Information Technology (IT) · Power BI,"10th of Ramadan City, Sharqia, Egypt ",Goldentex -
